Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Table 5,Financials - Maori Authorities,Total all industries,Total assets,Financial position,Thousand Dollars,22841565,2019,1 and 2 and 3 and 4 and 7
Table 5,Financials - Maori Authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,22841565,2019,1 and 2 and 3 and 4 and 7
Table 5,Financials - Maori Authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,3099207,2019,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Total income,Financial performance,Thousand Dollars,3761290,2019,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,328600,2019,1 and 2 and 3 and 4 and 9
Table 5,Financials - Maori Authorities,Total all industries,Closing stocks,Financial performance,Thousand Dollars,537315,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Current assets,Financial position,Thousand Dollars,3382535,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Current liabilities,Financial position,Thousand Dollars,2319100,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Current ratio,Financial ratios,Percent,145.9,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Debt to equity ratio,Financial ratios,Percent,46.4,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Depreciation,Financial performance,Thousand Dollars,283165,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Fixed tangible assets,Financial position,Thousand Dollars,10387405,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,"Government funding, grants and subsidies",Financial performance,Thousand Dollars,73203,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Indirect taxes,Financial performance,Thousand Dollars,37240,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Interest and donations,Financial performance,Thousand Dollars,135196,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,"Interest, dividends and donations",Financial performance,Thousand Dollars,238392,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Liabilities structure,Financial ratios,Percent,68.3,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Non-operating expenses,Financial performance,Thousand Dollars,88663,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Non-operating income,Financial performance,Thousand Dollars,170057,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Opening stocks,Financial performance,Thousand Dollars,514878,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Operating profit,Financial performance,Thousand Dollars,424032,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Other assets,Financial position,Thousand Dollars,10537286,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Other liabilities,Financial position,Thousand Dollars,5383574,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Purchases and operating expenses,Financial performance,Thousand Dollars,2078771,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Quick ratio,Financial ratios,Percent,122.7,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Return on equity,Financial ratios,Percent,3,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Return on total assets,Financial ratios,Percent,2.1,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Salaries and wages paid,Financial performance,Thousand Dollars,601712,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Sales of goods and services,Financial performance,Thousand Dollars,3226084,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Shareholders funds or owners equity,Financial position,Thousand Dollars,16604552,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Surplus before income tax,Financial performance,Thousand Dollars,505425,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Surplus per employee count,Financial ratios,Dollars,45800,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Total assets,Financial position,Thousand Dollars,24307226,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,24307226,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,3224747,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Total income,Financial performance,Thousand Dollars,3707736,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 5,Financials - Maori Authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,336000,2020,1 and 2 and 3 and 4 and 5 and 6 and 7 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Closing stocks,Financial performance,Thousand Dollars,186497,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current assets,Financial position,Thousand Dollars,309134,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current liabilities,Financial position,Thousand Dollars,83611,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current ratio,Financial ratios,Percent,369.7,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Debt to equity ratio,Financial ratios,Percent,19.4,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Depreciation,Financial performance,Thousand Dollars,9894,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Fixed tangible assets,Financial position,Thousand Dollars,1365542,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Indirect taxes,Financial performance,Thousand Dollars,4969,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Interest and donations,Financial performance,Thousand Dollars,14216,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Liabilities structure,Financial ratios,Percent,83.7,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Opening stocks,Financial performance,Thousand Dollars,181769,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Other assets,Financial position,Thousand Dollars,254044,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Other liabilities,Financial position,Thousand Dollars,230147,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Purchases and other expenses,Financial performance,Thousand Dollars,215176,2012,1 and 2 and 3 and 4 and 7
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Quick ratio,Financial ratios,Percent,146.7,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Return on equity,Financial ratios,Percent,2.6,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Return on total assets,Financial ratios,Percent,2.2,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Salaries and wages paid,Financial performance,Thousand Dollars,36135,2012,1 and 2 and 3 and 4 and 6
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Shareholders funds or owners equity,Financial position,Thousand Dollars,1614962,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Surplus before income tax,Financial performance,Thousand Dollars,42323,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Surplus per employee count,Financial ratios,Dollars,39100,2012,1 and 2 and 3 and 4 and 9
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total assets,Financial position,Thousand Dollars,1928720,2012,1 and 2 and 3 and 4 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total equity and liabilities,Financial position,Thousand Dollars,1928720,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total expenditure,Financial performance,Thousand Dollars,280389,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,317984,2012,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total income per employee count,Financial ratios,Dollars,293400,2012,1 and 2 and 3 and 4 and 9
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Closing stocks,Financial performance,Thousand Dollars,231162,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current assets,Financial position,Thousand Dollars,348484,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current liabilities,Financial position,Thousand Dollars,102324,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current ratio,Financial ratios,Percent,340.6,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Debt to equity ratio,Financial ratios,Percent,19.6,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Depreciation,Financial performance,Thousand Dollars,15652,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Fixed tangible assets,Financial position,Thousand Dollars,1633850,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Indirect taxes,Financial performance,Thousand Dollars,5783,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Interest and donations,Financial performance,Thousand Dollars,17517,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Liabilities structure,Financial ratios,Percent,83.6,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Opening stocks,Financial performance,Thousand Dollars,246992,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Other assets,Financial position,Thousand Dollars,386631,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Other liabilities,Financial position,Thousand Dollars,286289,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Purchases and other expenses,Financial performance,Thousand Dollars,179698,2013,1 and 2 and 3 and 4 and 7
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Quick ratio,Financial ratios,Percent,114.7,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Return on equity,Financial ratios,Percent,1.4,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Return on total assets,Financial ratios,Percent,1.2,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Salaries and wages paid,Financial performance,Thousand Dollars,39544,2013,1 and 2 and 3 and 4 and 6
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Shareholders funds or owners equity,Financial position,Thousand Dollars,1980352,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Surplus before income tax,Financial performance,Thousand Dollars,28383,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Surplus per employee count,Financial ratios,Dollars,25100,2013,1 and 2 and 3 and 4 and 9
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total assets,Financial position,Thousand Dollars,2368965,2013,1 and 2 and 3 and 4 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total equity and liabilities,Financial position,Thousand Dollars,2368965,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total expenditure,Financial performance,Thousand Dollars,258194,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,302407,2013,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total income per employee count,Financial ratios,Dollars,267300,2013,1 and 2 and 3 and 4 and 9
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Closing stocks,Financial performance,Thousand Dollars,231462,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current assets,Financial position,Thousand Dollars,380394,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current liabilities,Financial position,Thousand Dollars,103765,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current ratio,Financial ratios,Percent,366.6,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Debt to equity ratio,Financial ratios,Percent,17.8,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Depreciation,Financial performance,Thousand Dollars,15583,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Fixed tangible assets,Financial position,Thousand Dollars,1545944,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Indirect taxes,Financial performance,Thousand Dollars,5480,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Interest and donations,Financial performance,Thousand Dollars,17871,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Liabilities structure,Financial ratios,Percent,84.9,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Opening stocks,Financial performance,Thousand Dollars,217423,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Other assets,Financial position,Thousand Dollars,494998,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Other liabilities,Financial position,Thousand Dollars,261883,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Purchases and other expenses,Financial performance,Thousand Dollars,220768,2014,1 and 2 and 3 and 4 and 7
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Quick ratio,Financial ratios,Percent,143.5,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Return on equity,Financial ratios,Percent,3.1,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Return on total assets,Financial ratios,Percent,2.6,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Salaries and wages paid,Financial performance,Thousand Dollars,37610,2014,1 and 2 and 3 and 4 and 6
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Shareholders funds or owners equity,Financial position,Thousand Dollars,2055688,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Surplus before income tax,Financial performance,Thousand Dollars,62972,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Surplus per employee count,Financial ratios,Dollars,55000,2014,1 and 2 and 3 and 4 and 9
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total assets,Financial position,Thousand Dollars,2421336,2014,1 and 2 and 3 and 4 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total equity and liabilities,Financial position,Thousand Dollars,2421336,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total expenditure,Financial performance,Thousand Dollars,297312,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,346245,2014,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total income per employee count,Financial ratios,Dollars,302600,2014,1 and 2 and 3 and 4 and 9
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Closing stocks,Financial performance,Thousand Dollars,213955,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current assets,Financial position,Thousand Dollars,351432,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current liabilities,Financial position,Thousand Dollars,120395,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current ratio,Financial ratios,Percent,291.9,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Debt to equity ratio,Financial ratios,Percent,19.7,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Depreciation,Financial performance,Thousand Dollars,16670,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Fixed tangible assets,Financial position,Thousand Dollars,1694464,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Indirect taxes,Financial performance,Thousand Dollars,5778,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Interest and donations,Financial performance,Thousand Dollars,17544,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Liabilities structure,Financial ratios,Percent,83.5,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Opening stocks,Financial performance,Thousand Dollars,223236,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Other assets,Financial position,Thousand Dollars,393015,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Other liabilities,Financial position,Thousand Dollars,281330,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Purchases and other expenses,Financial performance,Thousand Dollars,202195,2015,1 and 2 and 3 and 4 and 7
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Quick ratio,Financial ratios,Percent,114.2,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Return on equity,Financial ratios,Percent,1.2,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Return on total assets,Financial ratios,Percent,1,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Salaries and wages paid,Financial performance,Thousand Dollars,37627,2015,1 and 2 and 3 and 4 and 6
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Shareholders funds or owners equity,Financial position,Thousand Dollars,2037186,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Surplus before income tax,Financial performance,Thousand Dollars,25213,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Surplus per employee count,Financial ratios,Dollars,21700,2015,1 and 2 and 3 and 4 and 9
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total assets,Financial position,Thousand Dollars,2438911,2015,1 and 2 and 3 and 4 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total equity and liabilities,Financial position,Thousand Dollars,2438911,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total expenditure,Financial performance,Thousand Dollars,279814,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,314308,2015,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total income per employee count,Financial ratios,Dollars,270800,2015,1 and 2 and 3 and 4 and 9
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Closing stocks,Financial performance,Thousand Dollars,224490,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current assets,Financial position,Thousand Dollars,338838,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current liabilities,Financial position,Thousand Dollars,154515,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current ratio,Financial ratios,Percent,219.3,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Debt to equity ratio,Financial ratios,Percent,23.4,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Depreciation,Financial performance,Thousand Dollars,14463,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Fixed tangible assets,Financial position,Thousand Dollars,1592830,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Indirect taxes,Financial performance,Thousand Dollars,6170,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Interest and donations,Financial performance,Thousand Dollars,17200,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Liabilities structure,Financial ratios,Percent,81,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Opening stocks,Financial performance,Thousand Dollars,218773,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Other assets,Financial position,Thousand Dollars,371912,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Other liabilities,Financial position,Thousand Dollars,282348,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Purchases and other expenses,Financial performance,Thousand Dollars,196520,2016,1 and 2 and 3 and 4 and 7
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Quick ratio,Financial ratios,Percent,74,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Return on equity,Financial ratios,Percent,1.3,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Return on total assets,Financial ratios,Percent,1.1,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Salaries and wages paid,Financial performance,Thousand Dollars,42081,2016,1 and 2 and 3 and 4 and 6
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Shareholders funds or owners equity,Financial position,Thousand Dollars,1866717,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Surplus before income tax,Financial performance,Thousand Dollars,24627,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Surplus per employee count,Financial ratios,Dollars,21100,2016,1 and 2 and 3 and 4 and 9
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total assets,Financial position,Thousand Dollars,2303580,2016,1 and 2 and 3 and 4 and 8
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total equity and liabilities,Financial position,Thousand Dollars,2303580,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total expenditure,Financial performance,Thousand Dollars,276434,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,295343,2016,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total income per employee count,Financial ratios,Dollars,252700,2016,1 and 2 and 3 and 4 and 9
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Closing stocks,Financial performance,Thousand Dollars,244104,2017,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current assets,Financial position,Thousand Dollars,370661,2017,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current liabilities,Financial position,Thousand Dollars,139210,2017,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current ratio,Financial ratios,Percent,266.3,2017,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Debt to equity ratio,Financial ratios,Percent,22.7,2017,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Depreciation,Financial performance,Thousand Dollars,15571,2017,1 and 2 and 3 and 4
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Fixed tangible assets,Financial position,Thousand Dollars,1778339,2017,1 and 2 and 3 and 4
